#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;ITALIAN;;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;l'Inquisitore;;;;;;;;x
secretly_convert_to_sunni_holy_site_desc;The §YSunni§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ysunnites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ysunnitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ysuníes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YSunniti§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_shiite_holy_site;Secretly Convert to Shiite;Adopter en secret la foi chiite;Heimlich zum schiitischen Glauben konvertieren;;Convertirse en secreto a la religión chií;Convertirsi in segreto alla religione Sciita;;;;;;;;x
secretly_convert_to_shiite_holy_site_desc;The §YShiite§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ychiites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yschiitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ychiíes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YSciiti§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_ibadi_holy_site;Secretly Convert to Ibadi;Adopter en secret la foi ibadite;Heimlich zum Ibadi-Glauben konvertieren;;Convertirse en secreto a la religión ibadí;Convertirsi in segreto alla religione Ibadita;;;;;;;;x
secretly_convert_to_ibadi_holy_site_desc;The §YIbadi§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yibadites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §YIbadi§!-Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yibadíes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YIbaditi§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_jewish_holy_site;Secretly Convert to Jewish;Adopter en secret la foi juive;Heimlich zum Judentum konvertieren;;Convertirse en secreto a la religión judía;Convertirsi in segreto alla religione Giudea;;;;;;;;x
secretly_convert_to_jewish_holy_site_desc;The §YJewish§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yjuifs§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yjüdischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yjudíos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YGiudei§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_zoroastrian_holy_site;Secretly Convert to Zoroastrian;Adopter en secret la foi zoroastrienne;Heimlich zum Zoroastrismus konvertieren;;Convertirse en secreto a la religión zoroastriana;Convertirsi in segreto alla religione Zoroastriana;;;;;;;;x
secretly_convert_to_zoroastrian_holy_site_desc;The §YZoroastrian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yzoroastriens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yzoroastrischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yzoroastrianos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YZoroastriani§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_hindu_holy_site;Secretly Convert to Hindu;Adopter en secret la foi hindouiste;Heimlich zum hinduistischen Glauben konvertieren;;Convertirse en secreto a la religión hindú;Convertirsi in segreto alla fede Induista;;;;;;;;x
secretly_convert_to_hindu_holy_site_desc;The §YHindu§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yhindouistes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yhinduistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yhindúes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YInduisti§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_buddhist_holy_site;Secretly Convert to Buddhist;Adopter en secret la foi bouddhiste;Heimlich zum Buddhismus konvertieren;;Convertirse en secreto a la religión budista;Convertirsi in segreto alla religione Buddista;;;;;;;;x
secretly_convert_to_buddhist_holy_site_desc;The §YBuddhist§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ybouddhistes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ybuddhistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ybudistas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YBuddisti§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_jain_holy_site;Secretly Convert to Jain;Adopter en secret la foi jaïne;Heimlich zum Jainismus konvertieren;;Convertirse en secreto a la religión jainista;Convertirsi in segreto alla religione Giainista;;;;;;;;x
secretly_convert_to_jain_holy_site_desc;The §YJain§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yjaïns§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yjainistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yjainistas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YGiainisti§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_norse_pagan_holy_site;Secretly Convert to Germanic;Adopter en secret la foi germanique;Heimlich zum germanischen Glauben konvertieren;;Convertirse en secreto a la religión germánica;Convertirsi in segreto alla religione Germanica;;;;;;;;x
secretly_convert_to_norse_pagan_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ygermaniques§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ygermanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ygermánicos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YGermanici§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_norse_pagan_reformed_holy_site;Secretly Convert to Germanic;Adopter en secret la foi germanique;Heimlich zum germanischen Glauben konvertieren;;Convertirse en secreto a la religión germánica;Convertirsi in segreto alla religione Germanica;;;;;;;;x
secretly_convert_to_norse_pagan_reformed_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ygermaniques§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ygermanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ygermánicos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YGermanici§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_slavic_pagan_holy_site;Secretly Convert to Slavic;Adopter en secret la foi slave;Heimlich zum slawischen Glauben konvertieren;;Convertirse en secreto a la religión eslava;Convertirsi in segreto alla religione Slava;;;;;;;;x
secretly_convert_to_slavic_pagan_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yslaves§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yslawischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yeslavos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YSlavi§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_slavic_pagan_reformed_holy_site;Secretly Convert to Slavic;Adopter en secret la foi slave;Heimlich zum slawischen Glauben konvertieren;;Convertirse en secreto a la religión eslava;Convertirsi in segreto alla religione Slava;;;;;;;;x
secretly_convert_to_slavic_pagan_reformed_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yslaves§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yslawischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yeslavos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;I pellegrini §YSlavi§! che accorrono nel luogo sacro in §Y[Root.Location.GetName]§! mi impressionano con la profondità e la passione della loro fede. Sono tentato di convertirmi in segreto...;;;;;;;;x
secretly_convert_to_tengri_pagan_holy_site;Secretly Convert to Tengri;Adopter en secret la foi tengriste;Heimlich zum tengrischen Glauben konvertieren;;Convertirse en secreto a la religión tengrista;Convertirsi in segreto alla religione Tengri;;;;;;;;x
